LocationDesc,AgeGroup,Duration of caregiving among older adults,Expect to provide care for someone in the next two years,Intensity of caregiving among older adults,Provide care for a friend or family member in past month,Provide care for someone with cognitive impairment within the past month
Alabama,0.0,72.08,24.240000000000002,31.360000000000003,29.619999999999997,10.86
Alabama,1.0,78.28,14.059999999999999,36.22,20.86,12.525
Alabama,2.0,74.06,19.72,32.92,25.919999999999998,11.32
Alaska,0.0,70.725,19.339999999999996,28.233333333333334,24.759999999999998,12.446153846153846
Alaska,1.0,72.85000000000001,16.45,32.233333333333334,21.55,15.05
Alaska,2.0,70.14,18.2,30.1,23.68,8.2
Arizona,0.0,67.7,23.7,39.875,25.68,12.0
Arizona,1.0,65.15,12.25,32.9,20.04,9.766666666666667
Arizona,2.0,66.34,18.9,39.980000000000004,22.816666666666666,10.65
Arkansas,0.0,73.47999999999999,17.7,31.650000000000002,27.54,11.366666666666665
Arkansas,1.0,68.275,10.075,33.5,20.18,9.033333333333333
Arkansas,2.0,70.9,13.9,31.76,24.240000000000002,10.4
California,0.0,79.35000000000001,16.144230769230766,28.675,21.119999999999997,7.5
California,1.0,73.76666666666667,16.144230769230766,30.366666666666664,16.68,12.446153846153846
California,2.0,75.36,16.144230769230766,30.560000000000002,19.22,9.2
Colorado,0.0,68.3,16.04,27.2,21.3,12.625
Colorado,1.0,71.3,12.45,28.425,18.8,11.875
Colorado,2.0,69.4,14.2,27.775,20.080000000000002,12.275
Connecticut,0.0,66.875,17.375,19.85,24.366666666666664,14.8
Connecticut,1.0,69.75,8.625,23.75,18.116666666666667,10.066666666666666
Connecticut,2.0,69.84,13.375,21.1,21.849999999999998,13.125
District of Columbia,0.0,58.9,19.04,31.400000000000002,23.119999999999997,8.4
District of Columbia,1.0,63.379999999999995,12.26,24.233333333333334,15.440000000000001,8.9
District of Columbia,2.0,60.6,15.940000000000001,26.24,19.8,8.4
Florida,0.0,78.03333333333333,20.035714285714285,36.199999999999996,26.594444444444445,20.5
Florida,1.0,72.325,16.9,39.483333333333334,19.01875,18.84
Florida,2.0,75.52222222222223,17.905555555555555,37.88,22.561111111111114,19.445454545454545
Georgia,0.0,71.03999999999999,19.228571428571428,37.725,24.123809523809523,20.599999999999998
Georgia,1.0,68.25500000000001,13.13,41.63,18.855,16.594117647058823
Georgia,2.0,70.175,16.547619047619047,39.285000000000004,21.666666666666668,17.91578947368421
Hawaii,0.0,69.39500000000001,19.6375,32.3,21.691666666666666,23.02
Hawaii,1.0,70.22999999999999,14.105,32.72,18.243478260869566,23.647368421052633
Hawaii,2.0,69.11904761904762,17.020833333333332,32.60476190476191,19.95,22.965
Idaho,0.0,71.1,22.75,26.125,27.5,6.766666666666667
Idaho,1.0,67.65,13.125,23.325,20.825,8.4
Idaho,2.0,69.775,18.225,25.075,24.425,7.3
Illinois,0.0,68.625,22.36,26.975,24.616666666666664,9.975
Illinois,1.0,75.7,14.959999999999999,30.200000000000003,15.9,9.799999999999999
Illinois,2.0,71.74,18.55,28.0,20.25,9.675
Indiana,0.0,72.5,23.44,26.55,25.880000000000003,13.625
Indiana,1.0,74.375,12.575,36.1,19.75,12.15
