LocationDesc,AgeGroup,Frequent mental distress,Lifetime diagnosis of depression
Alabama,0.0,16.233333333333334,26.063333333333333
Alabama,1.0,9.113333333333333,17.633333333333333
Alabama,2.0,13.056666666666667,22.993939393939392
Alaska,0.0,11.033333333333333,18.36896551724138
Alaska,1.0,6.726086956521739,12.092307692307692
Alaska,2.0,9.53793103448276,15.753333333333334
Arizona,0.0,13.022857142857143,19.849999999999998
Arizona,1.0,8.006896551724138,14.265625
Arizona,2.0,11.286486486486487,17.097560975609756
Arkansas,0.0,16.44137931034483,26.44333333333333
Arkansas,1.0,9.789285714285715,15.431034482758621
Arkansas,2.0,14.85625,22.44375
California,0.0,12.4,17.11388888888889
California,1.0,8.509375,14.328125
California,2.0,10.426315789473684,15.195238095238096
Colorado,0.0,10.193333333333333,18.544117647058822
Colorado,1.0,6.903333333333333,14.16451612903226
Colorado,2.0,9.538888888888888,17.354054054054053
Connecticut,0.0,11.814285714285715,17.591666666666665
Connecticut,1.0,6.865384615384615,12.8
Connecticut,2.0,9.838888888888889,15.61111111111111
Delaware,0.0,11.789655172413791,18.325806451612905
Delaware,1.0,7.454166666666667,12.788
Delaware,2.0,9.453333333333335,15.802857142857144
District of Columbia,0.0,12.34,21.663333333333334
District of Columbia,1.0,7.526666666666667,13.573333333333332
District of Columbia,2.0,10.52258064516129,18.075
Florida,0.0,14.127777777777778,18.98918918918919
Florida,1.0,8.94,13.719999999999999
Florida,2.0,12.00810810810811,16.451282051282053
Georgia,0.0,13.051612903225807,18.719354838709677
Georgia,1.0,8.416666666666666,14.139999999999999
Georgia,2.0,11.16451612903226,17.1
Guam,0.0,12.757142857142856,9.792
Guam,1.0,8.742857142857142,10.85
Guam,2.0,10.991666666666667,10.92
Hawaii,0.0,10.316666666666666,14.983333333333333
Hawaii,1.0,6.253333333333333,10.246875
Hawaii,2.0,8.63888888888889,12.869444444444445
Idaho,0.0,10.7125,20.616
Idaho,1.0,7.2124999999999995,13.983333333333334
Idaho,2.0,9.523076923076923,17.55862068965517
Illinois,0.0,11.4625,17.59705882352941
Illinois,1.0,7.1,13.163333333333332
Illinois,2.0,9.794117647058824,15.408571428571427
Indiana,0.0,14.303333333333335,22.003030303030304
Indiana,1.0,7.87037037037037,14.092592592592593
Indiana,2.0,11.5875,18.811111111111114
Iowa,0.0,10.254166666666666,17.544
Iowa,1.0,5.258333333333334,11.220833333333333
Iowa,2.0,8.415384615384616,14.828571428571427
Kansas,0.0,11.954545454545455,20.06216216216216
Kansas,1.0,6.8,15.100000000000001
Kansas,2.0,10.813157894736841,18.322499999999998
Kentucky,0.0,16.196296296296296,25.29642857142857
Kentucky,1.0,9.44,17.103703703703705
Kentucky,2.0,14.093103448275862,21.6
Louisiana,0.0,16.146666666666665,24.029999999999998
Louisiana,1.0,9.766666666666667,16.983333333333334
Louisiana,2.0,13.360000000000001,21.428125
Maine,0.0,12.441666666666668,24.370833333333334
Maine,1.0,6.716666666666666,15.479166666666666
Maine,2.0,10.38,22.773333333333333
Maryland,0.0,10.74375,16.41142857142857
Maryland,1.0,7.462068965517242,11.886666666666667
Maryland,2.0,9.473529411764705,15.665789473684208
Massachusetts,0.0,12.62258064516129,20.18235294117647
Massachusetts,1.0,7.420833333333333,16.21034482758621
Massachusetts,2.0,10.975757575757575,18.28611111111111
Michigan,0.0,15.145454545454546,23.296969696969697
Michigan,1.0,8.35,16.24838709677419
Michigan,2.0,12.618181818181819,21.01891891891892
Midwest,0.0,13.615217391304347,20.559574468085106
Midwest,1.0,8.13111111111111,14.213043478260868
Midwest,2.0,11.393617021276595,17.974468085106384
Minnesota,0.0,11.741666666666667,20.346341463414635
Minnesota,1.0,5.158333333333333,13.233333333333334
Minnesota,2.0,9.74102564102564,18.08809523809524
Mississippi,0.0,16.366666666666667,23.263333333333332
Mississippi,1.0,8.963333333333333,14.97
Mississippi,2.0,13.053333333333335,19.509999999999998
Missouri,0.0,14.406666666666666,22.583333333333332
Missouri,1.0,7.455555555555556,15.744827586206897
Missouri,2.0,11.426666666666668,19.470967741935485
Montana,0.0,12.551724137931034,23.953333333333333
Montana,1.0,8.644444444444444,16.63448275862069
Montana,2.0,10.920689655172414,21.345161290322583
Nebraska,0.0,10.566666666666666,20.413888888888888
Nebraska,1.0,5.8625,13.1
Nebraska,2.0,9.103225806451613,17.005128205128205
Nevada,0.0,13.511538461538462,19.084615384615383
Nevada,1.0,8.443478260869565,14.354166666666666
Nevada,2.0,11.28,16.809090909090912
New Hampshire,0.0,11.245833333333332,21.079166666666666
New Hampshire,1.0,5.991666666666667,13.666666666666666
New Hampshire,2.0,8.958333333333334,17.825
New Jersey,0.0,12.040740740740741,15.200000000000001
New Jersey,1.0,8.563636363636364,12.86
New Jersey,2.0,10.560714285714285,13.87241379310345
New Mexico,0.0,14.202777777777778,20.075000000000003
New Mexico,1.0,9.8375,16.824242424242424
New Mexico,2.0,12.402857142857144,18.322222222222223
New York,0.0,11.991666666666667,16.52162162162162
New York,1.0,8.725000000000001,12.81388888888889
New York,2.0,10.774358974358973,14.892307692307691
North Carolina,0.0,13.735483870967743,22.48787878787879
North Carolina,1.0,8.406896551724138,15.856666666666666
North Carolina,2.0,12.238235294117647,20.58108108108108
North Dakota,0.0,8.836,20.864285714285717
North Dakota,1.0,4.779166666666667,11.720833333333333
North Dakota,2.0,7.14,17.428571428571427
Northeast,0.0,13.153658536585365,19.125
Northeast,1.0,8.061538461538461,13.804878048780488
Northeast,2.0,11.077777777777778,16.435416666666665
Ohio,0.0,14.443333333333333,21.509375
Ohio,1.0,7.45925925925926,12.79
Ohio,2.0,11.8875,19.737142857142857
Oklahoma,0.0,18.094444444444445,25.9275
Oklahoma,1.0,9.285185185185185,18.538888888888888
Oklahoma,2.0,14.210810810810809,22.553658536585367
Oregon,0.0,13.895999999999999,25.403846153846153
Oregon,1.0,7.9750000000000005,18.441666666666666
Oregon,2.0,11.26923076923077,22.158620689655173
Pennsylvania,0.0,13.362068965517242,21.513333333333332
Pennsylvania,1.0,7.188,13.61153846153846
Pennsylvania,2.0,10.483333333333333,18.21818181818182
Puerto Rico,0.0,17.508333333333333,27.1125
Puerto Rico,1.0,9.421739130434782,17.891666666666666
Puerto Rico,2.0,13.595833333333333,22.733333333333334
Rhode Island,0.0,13.760714285714286,24.40967741935484
Rhode Island,1.0,8.348,16.78846153846154
Rhode Island,2.0,11.916129032258066,21.25142857142857
South,0.0,14.143478260869566,20.570212765957447
South,1.0,8.862222222222222,15.51086956521739
South,2.0,11.923404255319149,18.319148936170212
South Carolina,0.0,15.63225806451613,23.322580645161292
South Carolina,1.0,8.013793103448275,15.613333333333333
South Carolina,2.0,12.241935483870968,20.493939393939392
South Dakota,0.0,8.638461538461538,17.8
South Dakota,1.0,5.260869565217392,11.508333333333333
South Dakota,2.0,7.162962962962963,15.351724137931035
Tennessee,0.0,15.324137931034482,25.403333333333332
Tennessee,1.0,9.04,17.61923076923077
Tennessee,2.0,12.333333333333334,21.65666666666667
Texas,0.0,12.326470588235294,19.186111111111114
Texas,1.0,8.013793103448275,16.236363636363635
Texas,2.0,10.658333333333333,17.52777777777778
"United States, DC & Territories",0.0,13.25625,19.235416666666666
"United States, DC & Territories",1.0,8.66595744680851,14.410416666666668
"United States, DC & Territories",2.0,11.329166666666666,17.181250000000002
Utah,0.0,10.503703703703705,21.766666666666666
Utah,1.0,6.9125000000000005,18.599999999999998
Utah,2.0,9.766666666666667,20.261290322580646
Vermont,0.0,12.170833333333334,23.241666666666664
Vermont,1.0,6.3999999999999995,16.337500000000002
Vermont,2.0,10.708,20.058333333333334
Virgin Islands,0.0,6.75,5.3
Virgin Islands,2.0,5.133333333333333,4.1
Virginia,0.0,10.836666666666668,16.751612903225805
Virginia,1.0,6.77,12.993333333333334
Virginia,2.0,9.621875,14.98125
Washington,0.0,13.886111111111111,25.48095238095238
Washington,1.0,7.266666666666667,19.503333333333334
Washington,2.0,11.771052631578948,23.060000000000002
West,0.0,12.504255319148937,17.977083333333333
West,1.0,8.38,14.525531914893618
West,2.0,10.78936170212766,16.427083333333332
West Virginia,0.0,20.446153846153848,28.923076923076923
West Virginia,1.0,10.079166666666667,17.6875
West Virginia,2.0,15.5,23.539285714285715
Wisconsin,0.0,11.492,20.049999999999997
Wisconsin,1.0,6.341666666666666,13.116666666666667
Wisconsin,2.0,9.36,20.23125
Wyoming,0.0,11.636,19.534615384615385
Wyoming,1.0,6.4375,12.766666666666666
Wyoming,2.0,9.34,16.55
