LocationDesc,AgeGroup,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,No leisure-time physical activity within past month,Obesity
Alabama,50-64 years,22.633333333333333,11.353333333333333,35.89,43.406666666666666
Alabama,65 years or older,25.30666666666667,9.82,38.49,33.056666666666665
Alabama,Overall,23.833333333333332,10.646666666666667,37.59090909090909,39.012121212121215
Alaska,50-64 years,32.36,20.233333333333334,25.096666666666668,33.913333333333334
Alaska,65 years or older,33.471428571428575,17.641666666666666,28.336666666666666,33.233333333333334
Alaska,Overall,32.64,18.38,26.326666666666664,33.54333333333333
Arizona,50-64 years,34.22105263157895,17.705263157894734,28.860526315789475,38.32307692307692
Arizona,65 years or older,34.805,16.329411764705885,32.3775,27.826315789473686
Arizona,Overall,34.54347826086956,17.28421052631579,29.986046511627908,33.72142857142857
Arkansas,50-64 years,26.259999999999998,16.564285714285713,37.21333333333334,41.97
Arkansas,65 years or older,28.693333333333335,14.330769230769231,40.72666666666667,32.10333333333333
Arkansas,Overall,27.56875,15.033333333333333,39.46875,37.064516129032256
California,50-64 years,37.642857142857146,19.128571428571426,22.95,32.2
California,65 years or older,40.28095238095238,17.272222222222222,25.21794871794872,26.774285714285714
California,Overall,38.7047619047619,18.16190476190476,23.74186046511628,29.535714285714285
Colorado,50-64 years,34.4,18.466666666666665,20.337142857142855,29.27714285714286
Colorado,65 years or older,36.19375,15.326666666666666,23.488235294117647,24.78857142857143
Colorado,Overall,36.47,17.405882352941177,22.246153846153845,27.835135135135136
Connecticut,50-64 years,37.17,18.789473684210527,26.43076923076923,33.91111111111111
Connecticut,65 years or older,40.1,16.686666666666667,30.858333333333334,28.877777777777776
Connecticut,Overall,39.095238095238095,18.723809523809525,28.27,31.740540540540543
Delaware,50-64 years,33.15294117647059,16.04,30.434285714285714,38.962857142857146
Delaware,65 years or older,35.22,13.484615384615385,35.69666666666667,33.62
Delaware,Overall,34.53888888888889,14.653333333333334,33.25,36.83888888888889
District of Columbia,50-64 years,37.68666666666666,26.113333333333333,20.873333333333335,31.36
District of Columbia,65 years or older,45.31333333333334,24.21333333333333,25.926666666666666,24.613333333333333
District of Columbia,Overall,41.0,25.333333333333332,23.312903225806455,27.859375
Florida,50-64 years,33.849999999999994,17.2125,33.37567567567568,33.98108108108108
Florida,65 years or older,34.544444444444444,13.411764705882353,34.96153846153846,29.021052631578947
Florida,Overall,34.373684210526314,15.511111111111111,33.678048780487806,31.664102564102567
Georgia,50-64 years,29.470588235294116,16.293333333333333,33.34571428571428,40.17428571428571
Georgia,65 years or older,31.240000000000002,13.346666666666666,35.53548387096774,31.396666666666665
Georgia,Overall,30.576470588235292,15.066666666666666,34.84594594594594,37.388888888888886
Guam,50-64 years,33.4,19.358333333333334,32.208,32.27777777777778
Guam,65 years or older,38.03846153846154,23.380000000000003,39.43913043478261,24.13478260869565
Guam,Overall,34.71176470588235,21.453333333333333,33.365625,31.58
Hawaii,50-64 years,31.105555555555554,19.822222222222223,21.825000000000003,27.375
Hawaii,65 years or older,36.52777777777778,19.235294117647058,26.61714285714286,19.744444444444444
