LocationDesc,AgeGroup,Arthritis among older adults,"Disability status, including sensory or mobility limitations",Fair or poor health among older adults with arthritis,Fall with injury within last year,Oral health:  tooth retention,Physically unhealthy days (mean number of days),Prevalence of sufficient sleep,Recent activity limitations in past month,Self-rated health (fair to poor health),Self-rated health (good to excellent health),Severe joint pain among older adults with arthritis,Taking medication for high blood pressure,Frequent mental distress,Lifetime diagnosis of depression,Binge drinking within past 30 days,Current smoking,Cholesterol checked in past 5 years,Colorectal cancer screening,Diabetes screening within past 3 years,Ever had pneumococcal vaccine,High blood pressure ever,Influenza vaccine within past year,Mammogram within past 2 years,Pap test within past 3 years,Up-to-date with recommended vaccines and screenings - Men,Up-to-date with recommended vaccines and screenings - Women,Eating 2 or more fruits daily,Eating 3 or more vegetables daily,No leisure-time physical activity within past month,Obesity,Duration of caregiving among older adults,Expect to provide care for someone in the next two years,Intensity of caregiving among older adults,Provide care for a friend or family member in past month,Provide care for someone with cognitive impairment within the past month,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,Subjective cognitive decline or memory loss among older adults,Talked with health care professional about subjective cognitive decline or memory loss
Alabama,0.0,46.67,41.5,43.045,12.16,68.62666666666668,6.2,59.5,8.183333333333334,29.683333333333334,70.31666666666666,47.00666666666667,87.88000000000001,16.233333333333334,26.063333333333333,10.083333333333334,22.173333333333336,92.98666666666666,66.13333333333334,65.87666666666667,39.53666666666666,57.919999999999995,41.43333333333333,77.41,78.01,26.389999999999997,17.419999999999998,22.633333333333333,11.353333333333333,35.89,43.406666666666666,72.08,24.240000000000002,31.360000000000003,29.619999999999997,10.86,54.18666666666666,44.28666666666666,14.153333333333334,49.28
Alabama,1.0,58.89,49.06399999999999,42.13,9.773333333333333,53.79333333333333,6.153333333333333,70.53999999999999,6.739999999999999,33.70666666666667,66.29333333333334,34.06666666666667,94.18666666666667,9.113333333333333,17.633333333333333,3.62,10.57,97.08666666666666,80.54666666666667,65.23333333333333,68.32333333333332,70.55333333333333,60.84,74.14,54.879999999999995,42.160000000000004,42.17,25.30666666666667,9.82,38.49,33.056666666666665,78.28,14.059999999999999,36.22,20.86,12.525,37.81333333333334,36.14,13.806666666666667,38.36666666666667
Alabama,2.0,53.88695652173914,46.84074074074074,42.45,11.1,62.233333333333334,6.575757575757576,64.46,7.566666666666666,32.91212121212121,67.0878787878788,40.61333333333334,90.97333333333333,13.056666666666667,22.993939393939392,7.153333333333333,18.293939393939397,93.77222222222223,72.03999999999999,65.66451612903225,57.666666666666664,64.54444444444444,49.54242424242425,75.94,68.65,33.36,30.04,23.833333333333332,10.646666666666667,37.59090909090909,39.012121212121215,74.06,19.72,32.92,25.919999999999998,11.32,46.986666666666665,40.67333333333333,13.986666666666668,44.49333333333333
Alaska,0.0,32.14,27.6,30.964999999999996,14.235714285714286,79.52,4.9433333333333325,65.46666666666667,5.73103448275862,19.176666666666666,80.82333333333332,26.23,70.31428571428572,11.033333333333333,18.36896551724138,14.879310344827585,22.96333333333333,87.99333333333334,60.64,61.336000000000006,38.53214285714286,40.666666666666664,36.49,66.22999999999999,71.97777777777777,25.55,16.84285714285714,32.36,20.233333333333334,25.096666666666668,33.913333333333334,70.725,19.339999999999996,28.233333333333334,24.759999999999998,12.446153846153846,37.4,39.075,8.008333333333333,47.46
Alaska,1.0,49.54,43.6,29.872222222222224,12.036363636363637,65.78666666666666,5.17,73.66000000000001,5.803703703703703,23.253333333333334,76.74666666666667,20.3,83.26428571428572,6.726086956521739,12.092307692307692,7.3549999999999995,11.055555555555555,93.40666666666667,74.81333333333333,66.736,66.15,62.1,53.43,68.38,42.857142857142854,39.6,37.03,33.471428571428575,17.641666666666666,28.336666666666666,33.233333333333334,72.85000000000001,16.45,32.233333333333334,21.55,15.05,29.52857142857143,26.860000000000003,12.258333333333333,42.39
Alaska,2.0,38.755,33.688,30.964999999999996,13.4,74.28,5.03,68.56666666666666,5.6866666666666665,20.706666666666667,79.29333333333334,24.229999999999997,76.74666666666667,9.53793103448276,15.753333333333334,12.043333333333333,18.63,89.91333333333334,65.54666666666667,63.18,55.32666666666667,48.38666666666666,42.9,66.96000000000001,61.56,28.57,24.54,32.64,18.38,26.326666666666664,33.54333333333333,70.14,18.2,30.1,23.68,8.2,30.71,30.53,9.784615384615385,43.78333333333333
Arizona,0.0,33.278571428571425,34.494285714285716,43.80869565217392,10.711764705882352,79.64761904761905,5.9743589743589745,65.63333333333333,7.300000000000001,28.148717948717948,72.66904761904762,38.64705882352941,79.88333333333334,13.022857142857143,19.849999999999998,12.209677419354838,16.96969696969697,91.12,57.69,64.58,41.04,44.34285714285714,38.947500000000005,70.43076923076923,71.88461538461539,22.22,16.944444444444443,34.22105263157895,17.705263157894734,28.860526315789475,38.32307692307692,67.7,23.7,39.875,25.68,12.0,48.550000000000004,40.050000000000004,10.313333333333333,48.449999999999996
Arizona,1.0,47.01481481481482,43.68529411764706,35.55238095238095,10.61875,65.64,5.476315789473684,72.925,6.203030303030303,28.487179487179485,71.60249999999999,28.05625,91.1888888888889,8.006896551724138,14.265625,5.092307692307693,9.203448275862069,95.8,71.98947368421052,63.01052631578948,69.0575,61.29,54.682500000000005,70.56153846153846,39.36,42.03,40.3,34.805,16.329411764705885,32.3775,27.826315789473686,65.15,12.25,32.9,20.04,9.766666666666667,26.233333333333334,28.099999999999998,11.706666666666667,40.9
Arizona,2.0,38.099999999999994,38.019444444444446,41.12,11.263157894736842,74.51739130434783,5.7976190476190474,67.72173913043478,6.95,28.278048780487808,73.61304347826086,35.94210526315789,86.25,11.286486486486487,17.097560975609756,9.042424242424241,14.044736842105264,92.98260869565217,63.10909090909092,64.16818181818182,60.090476190476195,50.89565217391304,45.915217391304346,70.69333333333334,60.67142857142857,28.779999999999998,25.314285714285713,34.54347826086956,17.28421052631579,29.986046511627908,33.72142857142857,66.34,18.9,39.980000000000004,22.816666666666666,10.65,39.28,38.1,10.988235294117647,43.92666666666666
Arkansas,0.0,43.83,42.736000000000004,47.335,14.986666666666668,68.58666666666666,6.86,62.026666666666664,8.193333333333333,33.57666666666667,66.42333333333333,46.88,88.69333333333334,16.44137931034483,26.44333333333333,10.88888888888889,24.040000000000003,91.67142857142858,63.29333333333333,65.12,44.20666666666667,58.12,43.580000000000005,74.47,74.72999999999999,29.255555555555556,14.3375,26.259999999999998,16.564285714285713,37.21333333333334,41.97,73.47999999999999,17.7,31.650000000000002,27.54,11.366666666666665,53.64,46.230000000000004,13.413333333333334,51.11
Arkansas,1.0,54.085,51.416000000000004,42.305,10.484615384615385,51.74,6.496666666666667,74.80666666666666,6.637931034482759,34.516666666666666,65.48333333333333,31.386666666666667,93.28,9.789285714285715,15.431034482758621,3.4181818181818184,11.082142857142857,96.23333333333333,75.70666666666666,67.64,70.24666666666667,68.93333333333334,55.806666666666665,69.8,39.739999999999995,38.58,38.81,28.693333333333335,14.330769230769231,40.72666666666667,32.10333333333333,68.275,10.075,33.5,20.18,9.033333333333333,34.71666666666667,31.508333333333336,13.207142857142857,32.3
Arkansas,2.0,48.78695652173913,48.81071428571429,44.785000000000004,13.106666666666666,58.9375,7.06764705882353,67.2125,7.536666666666666,35.775757575757574,64.5529411764706,39.18,91.01333333333334,14.85625,22.44375,7.307142857142857,19.451612903225808,93.75882352941177,67.88125,66.3,61.12903225806452,63.099999999999994,48.49375,72.32000000000001,60.31,34.28,27.060000000000002,27.56875,15.033333333333333,39.46875,37.064516129032256,70.9,13.9,31.76,24.240000000000002,10.4,45.43076923076923,40.76923076923077,13.18,43.37692307692308
California,0.0,27.788888888888888,27.96764705882353,36.57272727272727,9.9,85.8952380952381,4.782926829268293,62.219047619047615,6.6189189189189195,24.176315789473687,77.08809523809524,36.96470588235294,79.05499999999999,12.4,17.11388888888889,12.784375,12.988888888888889,92.38571428571429,62.51428571428571,59.56,37.40588235294118,41.74285714285715,40.25952380952381,76.25714285714285,82.3076923076923,26.392307692307693,20.866666666666667,37.642857142857146,19.128571428571426,22.95,32.2,79.35000000000001,16.144230769230766,28.675,21.119999999999997,7.5,40.233333333333334,39.96666666666667,8.763636363636364,51.03333333333333
California,1.0,47.45925925925926,42.43939393939394,34.46363636363637,11.233333333333333,70.58500000000001,5.225641025641026,68.295,6.423529411764706,27.7375,72.6609756097561,27.923529411764704,89.17999999999999,8.509375,14.328125,6.0928571428571425,5.764285714285714,95.94761904761904,79.33684210526316,57.52,68.75121951219512,59.42857142857143,59.79024390243902,70.11538461538461,45.8,39.4,39.96153846153846,40.28095238095238,17.272222222222222,25.21794871794872,26.774285714285714,73.76666666666667,16.144230769230766,30.366666666666664,16.68,12.446153846153846,27.266666666666666,36.2,12.830000000000002,38.325
California,2.0,36.00967741935484,34.82432432432432,34.852,10.376470588235295,78.9590909090909,5.156818181818182,63.99090909090909,6.37,25.786046511627905,74.86521739130436,32.67368421052631,84.07142857142857,10.426315789473684,15.195238095238096,9.9,10.05,93.74545454545455,68.71818181818182,56.03333333333333,58.73658536585366,48.612500000000004,48.13953488372093,74.18,68.45714285714286,31.486666666666665,29.139999999999997,38.7047619047619,18.16190476190476,23.74186046511628,29.535714285714285,75.36,16.144230769230766,30.560000000000002,19.22,9.2,34.15,29.516666666666666,9.953333333333335,43.61666666666667
Colorado,0.0,31.59166666666667,24.03793103448276,30.47,10.706666666666667,84.83529411764707,4.54,68.99444444444445,5.3100000000000005,20.17142857142857,80.03888888888889,28.866666666666667,76.20625,10.193333333333333,18.544117647058822,13.139999999999999,16.529411764705884,91.07777777777778,63.6235294117647,67.38875,41.22666666666667,38.06111111111111,46.03142857142857,67.55454545454546,76.33,30.46,21.07,34.4,18.466666666666665,20.337142857142855,29.27714285714286,68.3,16.04,27.2,21.3,12.625,40.575,27.175,12.940000000000001,47.625
Colorado,1.0,49.26666666666667,36.11379310344827,26.310000000000002,10.586666666666668,70.70555555555556,4.797058823529412,75.65555555555555,5.413333333333333,22.438888888888886,77.5611111111111,23.74,88.61176470588236,6.903333333333333,14.16451612903226,4.479166666666667,9.625,96.81176470588235,76.60625,67.38875,76.72058823529412,56.355555555555554,63.96764705882353,65.47272727272727,40.52,46.239999999999995,45.38181818181818,36.19375,15.326666666666666,23.488235294117647,24.78857142857143,71.3,12.45,28.425,18.8,11.875,17.65,18.8,10.45,45.7
Colorado,2.0,38.72222222222222,28.91875,30.6125,11.594117647058823,79.33333333333333,4.794871794871795,70.70952380952382,5.611428571428571,21.7625,78.92093023255813,27.744444444444444,83.67222222222222,9.538888888888888,17.354054054054053,9.693333333333333,14.913157894736843,92.7,68.57000000000001,67.38875,65.15277777777777,44.190909090909095,52.739024390243905,68.1923076923077,64.51818181818182,36.20769230769231,31.430769230769233,36.47,17.405882352941177,22.246153846153845,27.835135135135136,69.4,14.2,27.775,20.080000000000002,12.275,31.925,23.975,12.3,46.85
Connecticut,0.0,30.258333333333336,27.243333333333332,34.229166666666664,9.0375,83.11052631578947,4.452777777777778,63.325,6.061111111111111,20.302777777777777,81.1425,35.455555555555556,82.03333333333333,11.814285714285715,17.591666666666665,12.785294117647059,15.616666666666667,95.16,71.31666666666666,67.075,38.45,41.89,44.8948717948718,82.25384615384615,82.44615384615385,30.299999999999997,25.61818181818182,37.17,18.789473684210527,26.43076923076923,33.91111111111111,66.875,17.375,19.85,24.366666666666664,14.8,42.833333333333336,29.663636363636364,7.814285714285715,59.71666666666667
Connecticut,1.0,48.45416666666667,39.38333333333333,30.142857142857142,8.569230769230769,66.72222222222223,4.871428571428571,70.96666666666667,5.390322580645161,26.197222222222223,73.80277777777778,23.46875,92.125,6.865384615384615,12.8,4.988,7.521428571428571,96.44444444444444,78.53888888888889,64.95,70.62857142857143,62.17777777777778,62.76111111111111,75.92727272727272,54.68888888888889,42.8,43.73076923076923,40.1,16.686666666666667,30.858333333333334,28.877777777777776,69.75,8.625,23.75,18.116666666666667,10.066666666666666,22.781818181818185,21.927272727272726,8.6,42.208333333333336
Connecticut,2.0,36.1037037037037,32.29333333333333,33.40833333333333,8.870588235294118,77.65238095238095,4.622222222222223,67.0047619047619,5.841666666666667,22.5,79.17380952380952,30.694444444444443,87.15,9.838888888888889,15.61111111111111,9.48,12.675,95.97142857142858,72.31904761904762,65.57692307692308,59.54722222222222,49.30476190476191,51.5,79.93076923076923,73.0,34.17857142857143,32.392857142857146,39.095238095238095,18.723809523809525,28.27,31.740540540540543,69.84,13.375,21.1,21.849999999999998,13.125,33.074999999999996,26.258333333333336,8.4,51.083333333333336
Delaware,0.0,35.30869565217392,32.16,31.945,8.569230769230769,80.90555555555555,4.7303030303030305,62.800000000000004,6.093333333333334,23.48857142857143,76.51142857142857,38.38666666666666,82.50666666666666,11.789655172413791,18.325806451612905,13.289285714285715,19.603225806451615,94.62941176470588,66.36470588235295,68.85000000000001,41.06551724137931,47.747058823529414,46.37428571428571,80.8,81.41,32.22,23.7,33.15294117647059,16.04,30.434285714285714,38.962857142857146,58.9,19.04,31.400000000000002,23.119999999999997,8.4,45.0,48.92,7.664285714285714,57.82000000000001
